11,Valjean
48,Gavroche
55,Marius
27,Javert
25,Thenardier
23,Fantine
58,Enjolras
62,Courfeyrac
64,Bossuet
63,Bahorel
65,Joly
24,MmeThenardier
26,Cosette
41,Eponine
57,Mabeuf
59,Combeferre
61,Feuilly
0,Myriel
66,Grantaire
68,Gueulemer
69,Babet
70,Claquesous
16,Tholomyes
60,Prouvaire
71,Montparnasse
29,Bamatabois
17,Listolier
18,Fameuil
19,Blacheville
20,Favourite
21,Dahlia
22,Zephine
49,Gillenormand
51,MlleGillenormand
75,Brujon
76,MmeHucheloup
34,Judge
35,Champmathieu
36,Brevet
37,Chenildieu
38,Cochepaille
28,Fauchelevent
31,Simplice
54,LtGillenormand
2,MlleBaptistine
3,MmeMagloire
39,Pontmercy
42,Anzelma
43,Woman2
72,Toussaint
12,Marguerite
30,Perpetue
33,Woman1
44,MotherInnocent
47,MmeBurgon
50,Magnon
52,MmePontmercy
56,BaronessT
73,Child1
74,Child2
1,Napoleon
4,CountessDeLo
5,Geborand
6,Champtercier
7,Cravatte
8,Count
9,OldMan
10,Labarre
13,MmeDeR
14,Isabeau
15,Gervais
32,Scaufflaire
40,Boulatruelle
45,Gribier
46,Jondrette
53,MlleVaubois
67,MotherPlutarch
